year,name,nationality,school
2009,Sebastian Concha Vinet,Chile,Hamburg Ballet School - John Neumeier
2009,Miki Mizutani,Japan,Did not use the apprenticeship/scholarship
2009,Edo Wijnen,Belgium,English National Ballet School
2009,Hannah O’Neill,Australia,Antwerp Royal Ballet School
2009,Telmo Moreira,Portugal,Australian Ballet School
2008,Akane Takada,Japan,The Royal Ballet
2008,Dylan Tedaldi,USA,Hamburg Ballet School - John Neumeier
2008,Irlan Silva,Brazil,ABT Studio Company / American Ballet Theatre II
2008,Aleix Martinez,Spain,Hamburg Ballet School - John Neumeier
2008,Gozde Ozgur,Turkey,
2008,Lili Felméry,Hungary,The Royal Ballet School
2008,Marcella de Paiva,Brazil,Did not use the apprenticeship/scholarship
2008,Kyle Davis,USA,Pacific Northwest Ballet
2007,Telmo Moreira,Portugal,Vaganova Ballet Academy
2007,Charles-Louis Yoshiyama,France/Japan,
2007,Sae-Eun Park,South Korea,ABT Studio Company / American Ballet Theatre II
2007,Delia Matthews,Great Britain/New Zealand,The Royal Ballet School
2007,Chaelee Kim,South Korea,School of American Ballet
2007,Mai Kono,Japan,Bayerisches Staatsballett
2007,James Hay,Great Britain,The Royal Ballet School
2006,Zhang Yijing,China,Hamburg Ballet School - John Neumeier
2006,Vadim Muntagirov,Russia,The Royal Ballet School
2006,Sergiy Polunin,Ukraine,The Royal Ballet School
2006,Shino Mori,Japan,Canada's National Ballet School
2006,Hyang Gee Hong,South Korea,Vaganova Ballet Academy
2006,Chengwu Guo,China,Australian Ballet School
2005,Zherlin Ndudi,Ukraine,Staatliche Ballettakademie
2005,Adeline Kaiser,France,The Royal Ballet School
2005,Yu Jin Kim,South Korea,Tanz Akademie Zürich
2005,Seo Hye Han,South Korea,Vaganova Ballet Academy
2005,Karen Azatyan,Armenia,Tanz Akademie Zürich
2005,Jin Young Won,South Korea,Nederlands Dans Theater II
2004,Alex Wong,Canada,ABT Studio Company / American Ballet Theatre II
2004,Andriy Pisaryev,Ukraine,Did not use the apprenticeship/scholarship
2004,Alison McWhinney,Australia,English National Ballet School
2004,Moe Nieda,Japan,The Royal Ballet School
2004,Gakuro Matsui,Japan,The Royal Danish Ballet
2004,Yi-Jee Jang,South Korea,
2004,Ryo Izawa,Japan,Hamburg Ballet School - John Neumeier
2004,Hee Jae Choi,South Korea,Ecole Supérieure de danse de Cannes R.H.
2004,Joseph Caley,Great Britain,The Royal Ballet School
2003,Shi Chao,China,Canada's National Ballet School
2003,Danqing Xu,China,Australian Ballet School
2003,Yaosheng Weng,China,San Francisco Ballet School
2003,Hee Seo,South Korea,John Cranko School
2003,Sung Min Kim,South Korea,Stuttgart Ballet
2003,Steven McRae,Australia,The Royal Ballet School
2003,Lei He,China,John Cranko School
2003,Keigo Fukuda,Japan,Birmingham Royal Ballet
2003,Sarah-Jane Brodbeck,Switzerland,
2003,Celisa Diuana,Brazil,The Royal Ballet
2002,Cho Soo-Youn,South Korea,Canada's National Ballet School
